,literacy_home,risk_factors,aspired_occ_b,math_b,reading_b,math_conf_b,verbal_confidence,writing,sports,by_xcurr,homework,hedonics_b,hours_working_b,edu_confidence,aspired_occ_1,math_1,math_status_1,f1_xcurr,hours_working_1,hedonics_1,math_conf_1,hs_ac_load,hs_gpa,ps_level,effort,testing,v_facility,m_facility,academic_p,iq_by_concientiousness,delinquency,wages_cont,graduated_Y
14114,3.0,1.0,10.0,64.65,65.7,,,0.052000000000000005,0.0,1.0,10.0,1.0,0.0,7.0,-1.0,65.65,6.0,3.0,3.0,1.0,,32.0,6.0,1.0,320.0,196.00000000000003,262.8,393.90000000000003,1920.0,27581.4,2.0,0.0,1.0
7646,3.0,,9.0,63.74,64.71,0.36,0.6659999999999999,1.001,2.0,2.0,27.0,5.0,0.0,7.0,9.0,60.59,5.0,3.0,1.0,1.0,0.746,24.0,6.0,1.0,648.0,189.04,258.84,302.95000000000005,3888.0,28651.289999999997,,8884880.0,1.0
11497,2.0,0.0,-1.0,40.5,46.23,-0.183,0.078,-0.13699999999999998,2.0,0.0,11.0,2.0,0.0,6.0,-1.0,42.39,5.0,2.0,0.0,3.0,0.495,24.0,4.0,1.0,264.0,129.12,138.69,211.95,1056.0,12272.4,0.0,90384.0,1.0
4515,2.0,1.0,10.0,59.68,51.03,0.7809999999999999,-1.194,0.052000000000000005,0.0,2.0,8.0,1.0,0.0,8.0,10.0,63.61,6.0,3.0,4.0,2.0,0.495,28.0,6.0,1.0,224.0,174.32,153.09,381.65999999999997,1344.0,19251.0,3.0,14817200.0,0.0
15386,,2.0,10.0,55.44,61.51,,,0.052000000000000005,0.0,1.0,13.0,2.0,1.0,9.0,10.0,46.34,4.0,6.0,2.0,3.0,-1.28,21.0,3.0,1.0,273.0,163.29,,185.36,819.0,,10.0,4245540.0,0.0
11815,2.0,0.0,-1.0,63.17,61.88,1.7719999999999998,1.5959999999999999,0.733,0.0,0.0,4.0,2.0,0.0,6.0,-1.0,62.97,6.0,0.0,2.0,1.0,0.8220000000000001,16.0,2.0,2.0,64.0,188.02,185.64000000000001,377.82,128.0,11269.2,0.0,1786190.0,0.0
11881,3.0,1.0,,56.72,54.73,,1.5959999999999999,1.001,1.0,1.0,9.0,8.0,1.0,7.0,10.0,56.6,6.0,2.0,0.0,,-0.755,25.0,4.0,1.0,225.0,168.04999999999998,218.92,339.6,900.0,18989.68,,2016599.9999999998,0.0
9216,2.0,,-1.0,56.51,53.74,-0.867,,1.9509999999999998,0.0,0.0,16.0,,0.0,7.0,-1.0,60.22,6.0,1.0,2.0,,-1.7930000000000001,25.0,5.0,2.0,400.0,170.47,161.22,361.32,2000.0,21424.14,,145751.85,1.0
9636,2.0,0.0,10.0,52.83,60.64,-0.381,1.5959999999999999,1.001,2.0,1.0,4.0,1.0,0.0,6.0,-1.0,58.44,5.0,4.0,0.0,1.0,0.528,23.0,3.0,1.0,92.0,171.91,181.92000000000002,292.2,276.0,12801.24,0.0,11174150.0,1.0
3829,3.0,0.0,17.0,48.74,55.96,-0.8690000000000001,0.7040000000000001,1.001,3.0,2.0,,8.0,0.0,6.0,9.0,50.38,6.0,5.0,4.0,4.0,1.0190000000000001,24.0,6.0,1.0,,155.08,223.84,302.28000000000003,,,0.0,6513360.000000001,1.0
