,literacy_home,risk_factors,math_b,reading_b,math_conf_b,verbal_confidence,writing,sports,by_xcurr,homework,hedonics_b,hours_working_b,edu_confidence,math_1,math_status_1,f1_xcurr,hours_working_1,hedonics_1,math_conf_1,hs_ac_load,hs_gpa,ps_level,effort,testing,v_facility,m_facility,academic_p,iq_by_concientiousness,delinquency,wages_cont,graduated_Y,aspired_occ_b_-1,aspired_occ_b_1,aspired_occ_b_2,aspired_occ_b_3,aspired_occ_b_4,aspired_occ_b_5,aspired_occ_b_6,aspired_occ_b_7,aspired_occ_b_8,aspired_occ_b_9,aspired_occ_b_10,aspired_occ_b_11,aspired_occ_b_12,aspired_occ_b_13,aspired_occ_b_14,aspired_occ_b_15,aspired_occ_b_16,aspired_occ_b_17,aspired_occ_1_-1,aspired_occ_1_1,aspired_occ_1_2,aspired_occ_1_3,aspired_occ_1_4,aspired_occ_1_5,aspired_occ_1_6,aspired_occ_1_7,aspired_occ_1_8,aspired_occ_1_9,aspired_occ_1_10,aspired_occ_1_11,aspired_occ_1_12,aspired_occ_1_13,aspired_occ_1_14,aspired_occ_1_15,aspired_occ_1_16,aspired_occ_1_17
0,3,1,64.65,65.7,0.7486999999999998,0.5229,0.052000000000000005,0,1,10,1,0,7,65.65,6,3,3,1,0.9823999999999999,32,6,1.0,320.0,196.00000000000003,262.8,393.90000000000003,1920,27581.4,2.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,63.74,64.71,0.36,0.6659999999999999,1.001,2,2,27,5,0,7,60.59,5,3,1,1,0.746,24,6,1.0,648.0,189.04,258.84,302.95000000000005,3888,28651.289999999997,3.1,8884880.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2,0,40.5,46.23,-0.183,0.078,-0.13699999999999998,2,0,11,2,0,6,42.39,5,2,0,3,0.495,24,4,1.0,264.0,129.12,138.69,211.95,1056,12272.4,0.0,90384.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,1,59.68,51.03,0.7809999999999999,-1.194,0.052000000000000005,0,2,8,1,0,8,63.61,6,3,4,2,0.495,28,6,1.0,224.0,174.32,153.09,381.65999999999997,1344,19251.0,3.0,14817200.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,2,2,55.44,61.51,0.01389999999999999,0.1298,0.052000000000000005,0,1,13,2,1,9,46.34,4,6,2,3,-1.28,21,3,1.0,273.0,163.29,162.56,185.36,819,14068.010999999999,10.0,4245540.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2,0,63.17,61.88,1.7719999999999998,1.5959999999999999,0.733,0,0,4,2,0,6,62.97,6,0,2,1,0.8220000000000001,16,2,2.0,64.0,188.02,185.64000000000001,377.82,128,11269.2,0.0,1786190.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,1,56.72,54.73,-0.25149999999999995,1.5959999999999999,1.001,1,1,9,8,1,7,56.6,6,2,0,3,-0.755,25,4,1.0,225.0,168.04999999999998,218.92,339.6,900,18989.68,5.7,2016599.9999999998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,2,1,56.51,53.74,-0.867,0.4365,1.9509999999999998,0,0,16,3,0,7,60.22,6,1,2,3,-1.7930000000000001,25,5,2.0,400.0,170.47,161.22,361.32,2000,21424.14,4.5,145751.85,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,52.83,60.64,-0.381,1.5959999999999999,1.001,2,1,4,1,0,6,58.44,5,4,0,1,0.528,23,3,1.0,92.0,171.91,181.92000000000002,292.2,276,12801.24,0.0,11174150.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,0,48.74,55.96,-0.8690000000000001,0.7040000000000001,1.001,3,2,9,8,0,6,50.38,6,5,4,4,1.0190000000000001,24,6,1.0,240.0,155.08,223.84,302.28000000000003,1267,18044.404,0.0,6513360.000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,2,2,48.74,51.65,-0.392,-2.197,0.247,2,0,25,8,0,9,42.5,5,3,6,8,-0.757,26,2,2.0,650.0,142.89,154.95,212.5,1300,18739.95,32.0,714449.9999999999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,2,1,54.47,58.3,-0.63,-0.6409999999999999,0.052000000000000005,2,1,16,1,1,7,54.13,6,3,5,2,-0.51,28,4,1.0,448.0,166.9,174.89999999999998,324.78000000000003,1792,21985.920000000002,3.0,1669000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
